step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.295164159204369,0,0.0,0.9374645847129716,0,0.0,0.921073046689767,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9503714586643222,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9389349219865706,0,0.0,0.9633398190269962,0,0.0,0.934614853166088,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9624267837150594,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.213105144922508,0,0.0,0.9675405714003837,0,0.0,0.969473526849043,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9770409081206638,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9805649328755842,0,0.0,0.9614451366824129,0,0.0,0.9209471769745444,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.949833936001024,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,12.385647527398962,1,1.0,0.784309294791788,0,0.0,0.9645156452858377,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9572820114236372,0,0.0,0.9592823032701199,0,0.0,1.0,0,0.0,1.0,0,0.0,0.948285078929007,0,0.0,0.9332630568209764,0,0.0,0.9441243035927489,0,0.0,0.7608606528184112,0,0.0,0.9427440623807513,0,0.0,0.9590484273801363,0,0.0,0.9529289220428768,0,0.0,0.8690445516775966,1,1.0
20.0,2,10.0,0.17857142857142858,12.199559864539523,2,10.0,0.7090582422792544,0,0.0,0.9529060887779971,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9568599087495894,0,0.0,0.9684152488407861,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9537481804724035,0,0.0,0.754180868454174,0,0.0,0.9358950905000035,0,0.0,0.9659925769529126,0,0.0,0.9842584901495822,0,0.0,0.91238916201148,0,0.0,0.9639668872908644,0,0.0,0.9310144125782996,2,10.0
25.0,1,4.0,0.05555555555555555,11.534742305150997,0,2.0,0.6473521363767631,0,0.0,0.908033296855129,0,0.0,1.0,0,0.0,0.8020322038430324,0,0.0,0.9700556819386199,0,0.0,0.9653067781014433,0,0.0,0.9527255944517161,0,0.0,1.0,0,0.0,0.9459073540693552,1,4.0,0.5986455277544553,0,2.0,0.8772251366610526,0,0.0,0.8955193068268912,0,0.0,0.7267598573456253,0,0.0,1.0,0,0.0,0.9749282789543169,0,0.0,0.959851845635843,1,8.0
30.0,7,18.0,0.225,10.743557393047828,3,8.0,0.6631597733381391,1,2.0,0.5989092988043255,0,0.0,0.9578968541944661,0,0.0,0.988470302020291,0,0.0,0.965714484678386,0,0.0,0.9413436030912764,0,0.0,0.9566001100296694,0,0.0,1.0,0,0.0,0.873906935234369,0,2.0,0.5712398312244898,0,4.0,0.9051323167827445,1,2.0,0.5565074618349375,2,6.0,0.5426554866383451,0,2.0,0.39913851866382916,0,0.0,0.9681008759559805,0,0.0,0.9586477842309137,7,26.0
35.0,6,17.0,0.17708333333333334,9.987696973792758,1,7.0,0.5607432537161443,2,13.0,0.4911695896177867,0,2.0,0.7571834108967298,1,1.0,0.08077667426603893,0,0.0,0.9318302461926015,0,0.0,0.7406567060295892,0,0.0,0.9517094574621905,0,0.0,0.9338000716057928,2,2.0,0.6879167062487122,0,0.0,0.8798874171471162,0,4.0,0.9216187254114427,0,2.0,0.6779298623218942,0,4.0,0.4669949691779203,0,3.0,0.8280162347142892,0,0.0,0.9555306826912048,0,0.0,0.9569454753619576,6,38.0
40.0,11,52.0,0.4642857142857143,10.27815508514331,3,16.0,0.655618862025427,0,6.0,0.67187809341374,0,4.0,0.861234171123178,2,10.0,0.2192024751579726,0,0.0,0.9573401882744028,2,7.0,0.5593485863719583,0,0.0,0.9794063247503305,0,0.0,0.9315690264153142,3,16.0,0.6253840519899544,0,0.0,0.9962166476262102,1,3.0,0.8278572982708622,0,4.0,0.5585320650401873,0,4.0,0.9078303149559631,0,3.0,0.8234298084533714,0,0.0,0.9685769854676239,0,0.0,0.834833075137183,11,73.0
45.0,8,18.0,0.15,9.55428134731263,2,13.0,0.48559366725842923,0,4.0,0.8400670427230859,0,4.0,0.9216535826469855,0,0.0,0.9097036452599685,0,0.0,0.9385687413624112,0,6.0,0.6927566645004389,0,2.0,0.4238791370429199,0,4.0,0.5428589230343797,2,14.0,0.3632346044483079,0,0.0,0.9522503118508268,1,3.0,0.6061288582549427,1,9.0,0.7292749112879305,0,6.0,0.8737631434924334,0,0.0,0.7333525916333887,0,0.0,0.8027678960764136,2,4.0,0.4794160552323685,8,69.0
50.0,11,54.0,0.39705882352941174,10.25510478383081,4,21.0,0.6336006587130859,0,0.0,0.6743522826685409,0,0.0,0.6409863138871412,0,0.0,0.8590345482022618,1,2.0,0.7994051976205834,0,0.0,0.7751257849709223,0,4.0,0.8750156452067019,1,8.0,0.67707076864667,2,13.0,0.6484683933551003,0,0.0,0.6690175819886521,1,9.0,0.7969711720717417,0,6.0,0.8558087912278505,0,4.0,0.8285867906046548,0,0.0,0.9419911221864027,2,8.0,0.6349780665781146,0,4.0,0.269364646134537,11,79.0
